Language,Content
EN,ah final saturday
ZH,八十六 加
ZH,没有 没有 八 八十 没有 算
ZH,就 八十 我 拿 了 一 三 九 啊
ZH,一 三 九 八十六
EN,area five
ZH,啊 一八四
ZH,一七八
ZH,你 拿 多少 一五一 啊
ZH,五六七
EN,ya lor
ZH,诶 十号 十月
EN,saturday
ZH,啊 对 拜六
ZH,这样
ZH,去年 喏 你们 你 的 那个 一七零 加 他们 的 一 就 过 了 六百 了
ZH,啊 对对对 就 连做 三天三夜
EN,
ZH, 是 你 跟 我 讲 他有 驾车 诶
EN,(erm)
ZH,八点
ZH,啊
ZH,啊 (呃) 对啊 对啊
ZH,哦
ZH,对 哦
ZH,就 本来 是
ZH,没有 没有 他 有
ZH,屁 没有 打包 啊 他 没有 打包 过
ZH,对对对对对
ZH,对 对 对 对 对 对 对
EN,ya okay
ZH,对对对
ZH,(嗯） 不懂 诶 那时候
ZH,(嗯) 对啊 对啊 对
ZH,这样 很好 啊
ZH,哇
EN,then wasted leh
ZH,哈 这样 还 蛮 屌 的 嘞
ZH,哈啊 就
ZH,对 我 觉得 很 不
ZH,那 就 好
EN,oh then okay mah
EN,accountant (er) accounting loh
ZH,对 对 对
ZH,对 对 对 对 对 对 对 对
ZH,对
EN,swot analysis
ZH,几时 要 交
ZH,你们 就 真的 八点
EN,eight thirty
ZH,十 分钟 哦
ZH,啊 对 对 对
ZH,哦 哦 我 懂 我 懂
ZH,哦 我 不 我 我 我 不懂 有 一个 从
ZH,明白 了解
ZH,刚 啊
ZH,有 远见
ZH,你 二姐 住 哪里
EN,dhoby-ghaut
ZH,这样 你 二姐 家 还 真是 蛮 不方便
ZH,哦哦
ZH,诶 这样 不懂 就 总之 就 很小 很小 对
ZH,要 卖掉
ZH,就 就 也可以 卖 六千多
ZH,六百 千
EN,ah four five
ZH,你 的 楼 也是
ZH,可是 它 就 超贵 我 不 知道 她 住 几楼 可是
ZH,做 老师
ZH,我 没有 我 本来 我 以为 你 有 带 我 就 没有 带
ZH,对 就 超贵
ZH,(嗯） 不知道
ZH,没有 晶 姐姐 也 比 我们 大 唉
ZH,两三岁
ZH,我 不 知道 呃
ZH,哦 她 八五 的 晶 姐姐 哇 她 其实 还 蛮 年轻 的
ZH,不懂
ZH,七千 还是 八千
ZH,对 对 对 对 对
ZH,两年 酱
ZH,我 二十二 啊 他 妹妹 二十二 二十二 跟 我 一样 二十二
ZH,哦 就
ZH,有空  耶 你们 要 帮 我 庆祝 我 好 开心 啊
ZH,可以 你 gor-gor 他 没有 结婚 啊
ZH,哦 是 你 吗
ZH,我 有 听 你 讲过 可是 我 忘记 是 你的 gor-gor
ZH,他 拿 到
ZH,诶 它 很贵 哦
EN,oh then okay lah
ZH,你 gor-gor 的 妈妈 还是 那个 女朋友 的
ZH,就 随便 就 完 咯
ZH,哦哈 抽 他 就 抽到 他就 拿 那个 钱
ZH,他们 还 在 一起 呢 事后
EN,oh yah
ZH,哇 那个 女的 很 贱 哦
ZH,就 认识
EN,true true true
ZH,叫 那个 女的 赔 那个 钱 啦
EN,oh ya she should
ZH,好 马 不 吃 回头 草
EN,cannot work out
EN,ya lor ya lor
ZH,你 gor-gor 太 爱 她 了
ZH,受不了 啊
ZH,拖拖拉拉
ZH,他 就 没有 心情 了
EN,yea lor
ZH,哦 所以 现在 所以 现在 那个 屋子 还是 他 跟 那个 女 的 名字
ZH,有有有 你 每次 搭
ZH, 还 挺 看得 顺眼
ZH,啊 对对对对对
ZH,你 gor-gor 几岁
EN,okay lah
ZH,对对对 就
EN,true true
ZH,暗恋 暗恋
EN,friends ah
ZH,那 是 好事
ZH,就 现在 那个 哇
ZH,啊 对对对对对对对
ZH,对 有有有
ZH,几很 九个月
ZH,嗯 明白 了解
ZH,哦 这样 不是 喔
ZH,啊 楼上 楼下
ZH,嗯
ZH,那就好
ZH,要不要 跟 你 换
ZH,就 弄脏 了
EN,yah lah okay lah
ZH,我们 讲 一个 小时 了 了
ZH,肚子 还 有点 饿 哦
ZH,哦 不用紧 没有 啊 我 明天 没有 来 学校
ZH,不用紧 我 没有 要 很 <unk>
ZH,唉
ZH,等下 你 的 课 到 六点半
EN,oh then how
ZH,哦哦 会
ZH,哦 靠近 啊
EN,you mean tampines safra there is a minds cafe there ohh
ZH,载 你们 一起 去
ZH,不可以
EN,you got oh you oh
EN,the roomie lives in serangoon right
EN,mathew
ZH,噢
ZH, 你们 就
EN,try to fight
ZH,大大 本 的
EN,read january
EN,december
EN,stun
EN,twelve
EN,huh
ZH,你 就 哭
ZH,哦 对 对 对
ZH,他 又 找 你 吵架 了
EN,ya lor it's every thing
EN,so don't tell people you are from n.t.u.
EN,form of
ZH,哇哦 突然间 很累 唉 好想 睡觉 哦
ZH,四十 分钟 三十八
ZH,唉 四十八
ZH,这个 他们 的
EN,serious
ZH,笔 吗
EN,ah okay
EN,for mm
ZH,嗯】
ZH,啊 对
ZH,为什么
ZH,哇 你们 很 厉害 诶
ZH,(嗯) 明白 了解
ZH,那 就 好事
ZH,对 哦 那个 六 六 六
ZH,哦 哇
ZH,诶
ZH,诶 对 嘞
ZH,啧 啧 啧 zai
